,stocklong,country,Region,Year,Years,N,Brel_MRA,mean(Delta_Brel),mean(Delta_B),mean(Delta_B1),sd(Delta_Brel),sd(Delta_B),sd(Delta_B1),Fishery group,Price
89,Haddock West of Scotland,Multinational_ICES Working Group on Celtic Seas Ecosystems,West of Scotland,1978,35,2,0.908616188,-0.26406415,-0.200048505,0.064015645,0.170416829,0.220903864,0.050487034,"Cods, hakes, haddocks",1650
90,Whiting Celtic Sea,Multinational_ICES Working Group on Celtic Seas Ecosystems,Celtic Sea,1999,18,6,1.159045726,-0.061290403,-0.191670076,-0.130379673,0.073910031,0.134997528,0.144149049,"Cods, hakes, haddocks",1650
91,Whiting West of Scotland,Multinational_ICES Working Group on Celtic Seas Ecosystems,West of Scotland,1981,36,5,0.126865672,0.55200777,0.535357475,-0.016650295,0.428812101,0.415039491,0.015477574,"Cods, hakes, haddocks",1650
92,Atlantic cod NAFO 5Zjm,Multinational_Other Organisations,Canada East Coast,1978,37,2,0.19193858,0.216118384,0.033606648,-0.182511737,0.504200737,0.198055652,0.306145085,"Cods, hakes, haddocks",1650
93,Chilean jack mackerel Chilean EEZ and offshore,Multinational_Other Organisations,Chilean EEZ,1970,45,1,0.269306931,-0.840253574,-0.980312591,-0.140059016,NA,NA,NA,Miscellaneous pelagic fishes,640
94,Pacific halibut North Pacific,Multinational_Other Organisations,US Alaska,1996,18,1,0.356981132,0.916825253,0.719728987,-0.197096265,NA,NA,NA,"Cods, hakes, haddocks",1650
95,Australian salmon New Zealand,New Zealand,New Zealand,1929,84,1,0.615384615,-0.335010341,-0.271462129,0.063548212,NA,NA,NA,Miscellaneous coastal fishes,2950
96,Hoki Eastern New Zealand,New Zealand,Eastern New Zealand,1970,45,2,0.605855856,0.115324781,0.155639338,0.040314557,0.36680656,0.475723524,0.108916964,"Herrings, sardines, anchovies",660
97,Hoki Western New Zealand,New Zealand,Western New Zealand,1970,45,2,0.437984496,-0.254092021,-0.214973832,0.039118189,0.107517461,0.024519692,0.082997769,Miscellaneous demersal fishes,2850
98,Ling New Zealand Areas LIN 72,New Zealand,New Zealand Areas LIN 72,1968,42,1,0.467479675,0.053320146,0.125133967,0.071813821,NA,NA,NA,Miscellaneous coastal fishes,2950
99,Ling New Zealand Areas LIN 7WC-WCSI,New Zealand,New Zealand Areas LIN 7WC,1968,44,1,0.625503356,0.110525533,0.200113454,0.089587921,NA,NA,NA,Miscellaneous demersal fishes,2850
100,Orange roughy New Zealand Mid East Coast,New Zealand,New Zealand,1920,94,2,0.13733469,0.30141005,0.313878526,0.012468476,0.897982534,0.863362148,0.034620386,Miscellaneous demersal fishes,2850
101,Paua New Zealand Area PAU 5B (Stewart Island),New Zealand,New Zealand Area PAU 5B,1965,48,1,0.439226519,0.389950479,0.214899664,-0.175050815,NA,NA,NA,Miscellaneous demersal fishes,2850
102,Paua New Zealand Area PAU 5D (Otago),New Zealand,New Zealand Area PAU 5D,1965,47,1,0.348684211,-0.498360974,-0.667197547,-0.168836573,NA,NA,NA,"Abalones, winkles, conchs",6000
103,Paua New Zealand Area PAU 7 (Marlborough),New Zealand,New Zealand Area PAU 7,1965,50,2,0.182242991,0.462315737,0.400927975,-0.061387762,0.371888238,0.32869379,0.043194448,"Abalones, winkles, conchs",6000
104,Smooth oreo Chatham Rise,New Zealand,Chatham Rise,1955,58,2,0.297435897,0.01549661,0.424105966,0.408609356,0.084630237,0.246610702,0.161980465,Miscellaneous demersal fishes,2850
105,Smooth oreo West end of Chatham Rise,New Zealand,West end,1965,44,1,0.353221957,0.059616039,0.059298567,-0.000317473,NA,NA,NA,Miscellaneous demersal fishes,2850
106,Southern blue whiting Campbell Island Rise,New Zealand,New Zealand,1977,36,2,1.75,-0.125582505,-0.331279614,-0.205697109,0.513308383,0.726341741,0.213033358,"Cods, hakes, haddocks",1650
107,Southern hake Chatham Rise,New Zealand,Chatham Rise,1974,38,2,0.493975904,-0.16862721,-0.404679181,-0.236051971,0.143621078,0.195549683,0.051928604,"Cods, hakes, haddocks",1650
108,Southern hake Sub-Antarctic,New Zealand,Sub-Antarctic,1974,40,2,0.574534161,0.046221631,0.28763707,0.241415438,0.207392913,0.101533189,0.308926103,"Cods, hakes, haddocks",1650
109,Trevally New Zealand Areas TRE 7,New Zealand,New Zealand,1944,70,1,0.515695067,-0.172528755,0.761014975,0.93354373,NA,NA,NA,Miscellaneous coastal fishes,2950
110,Peruvian anchoveta North-Central Peruvian coast,Other,North-Central Peruvian coast,1962,46,1,0.742117117,0.54799539,0.443260304,-0.104735086,NA,NA,NA,"Abalones, winkles, conchs",6000
111,Walleye pollock Northern Sea of Okhotsk,Other,Northern Seaof Okhotsk,1963,51,1,2.057034221,-0.021124795,-0.006030169,0.015094626,NA,NA,NA,"Cods, hakes, haddocks",1650
112,Anchovy South Africa,South Africa,South Africa,1984,31,2,1.015075377,0.514004056,0.02912441,-0.484879646,0.08663455,0.033261346,0.053373204,"Herrings, sardines, anchovies",660
113,Cape horse mackerel South Africa South coast,South Africa,South Africa,1949,64,1,0.630593132,0.19934347,0.2497675,0.05042403,NA,NA,NA,Miscellaneous pelagic fishes,640
114,Deep water cape hake South Africa,South Africa,South Africa,1920,95,2,0.174509804,0.130566138,0.31959365,0.189027512,0.240347729,0.792388844,0.552041115,"Cods, hakes, haddocks",1650
115,Patagonian toothfish South Africa Subantarctic Prince Edward Islands,South Africa,South Africa,1960,55,2,0.575596817,-0.082972701,0.14144117,0.22441387,0.599075151,1.331499656,0.732424505,Miscellaneous demersal fishes,2850
116,Sardine South Africa,South Africa,South Africa,1986,29,2,4.269521411,0.700917074,0.820718971,0.119801898,0.319717138,0.436693571,0.116976433,"Herrings, sardines, anchovies",660
117,Shallow water cape hake South Africa,South Africa,South Africa,1920,95,2,0.702702703,0.202042639,1.010454255,0.808411616,0.110966737,0.895992707,0.78502597,"Cods, hakes, haddocks",1650
118,South African abalone South Africa,South Africa,South Africa,1951,64,2,0.175778547,-0.200284651,-0.187559133,0.012725518,0.166211225,0.108514795,0.057696431,"Abalones, winkles, conchs",6000
119,Southern spiny lobster South Africa South coast,South Africa,South Africa,1973,41,2,0.288888889,0.152305255,-0.575976785,-0.728282041,0.016717335,1.313208173,1.296490837,"Lobsters, spiny-rock lobsters",12400
120,Acadian redfish Gulf of Maine / Georges Bank,USA,US East Coast,1920,94,1,0.5,0.157175547,0.13004413,-0.027131417,NA,NA,NA,Miscellaneous demersal fishes,2850
121,Alaska plaice Bering Sea and Aleutian Islands,USA,US Alaska,1975,40,2,1.72,0.241364009,0.332834691,0.091470682,0.265502007,0.057556043,0.323058049,"Flounders, halibuts, soles",2700
122,American plaice Gulf of Maine / Georges Bank,USA,Gulf of Maine,1980,34,2,0.289473684,0.461198141,0.445248404,-0.015949737,0.328601811,0.306045477,0.022556334,"Flounders, halibuts, soles",2700
123,Arrowtooth flounder Bering Sea and Aleutian Islands,USA,Bering Sea,1976,39,2,3.869565217,0.283772794,0.44021527,0.156442476,0.07017929,0.04731108,0.022868211,"Flounders, halibuts, soles",2700
124,Arrowtooth flounder Gulf of Alaska,USA,Gulf of Alaska,1961,54,1,4.185185185,0.464401986,0.153099935,-0.311302051,NA,NA,NA,"Flounders, halibuts, soles",2700
125,Arrowtooth flounder Pacific Coast,USA,US West Coast,1920,95,1,0.779576588,-0.000144409,2.37E-05,0.000168105,NA,NA,NA,"Flounders, halibuts, soles",2700
126,Atka mackerel Bering Sea and Aleutian Islands,USA,US Alaska,1977,38,2,0.907692308,0.360949098,-0.549713883,-0.910662981,0.031451145,0.08209334,0.050642195,Miscellaneous demersal fishes,2850
127,Atlantic butterfish Gulf of Maine / Cape Hatteras,USA,Gulf of Maine,1989,27,1,0.935670475,0.250971424,0.161443743,-0.089527681,NA,NA,NA,Miscellaneous demersal fishes,2850
128,Atlantic cod Georges Bank,USA,Georges Bank,1978,33,1,0.265550239,0.592893976,0.474086193,-0.118807783,NA,NA,NA,"Cods, hakes, haddocks",1650
129,Atlantic cod Gulf of Maine,USA,Gulf of Maine,2007,7,1,0.218965517,0.670199342,0.385959613,-0.284239728,NA,NA,NA,"Cods, hakes, haddocks",1650
130,Atlantic surfclam_Mid-Atlantic Coast,USA,Mid-Atlantic Coast,1982,29,2,0.796393689,-0.039398616,-0.381895587,-0.342496972,0.107460493,0.022553217,0.13001371,"Clams, cockles, arkshells",1300
131,Atlantic wolffish_Gulf of Maine / Georges Bank,USA,Gulf of Maine,1968,48,2,0.153701084,0.272947305,0.341582906,0.068635601,0.22891792,0.239345346,0.010427427,Miscellaneous demersal fishes,2850
